"la","mu","nu","age","m","ci1","ci2"
"Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
"
"2.75","2.3","0.5","5","54.4660194174757","0","194"
"2.75","2.3","0.5","3","31.4466019417476","0","111.6"
"2.75","2.3","0.5","1.76","20.8543689320388","0","75.6"
"2.75","2.3","0.5","1.1","14.5728155339806","0","55.9"
"2.75","2.3","0.5","0.4","6.30097087378641","0","24.8"
"3","2.3","0.5","5","162.56","2","629.299999999999"
"3","2.3","0.5","3","102.456","0","362.3"
"3","2.3","0.5","1.76","71","2.1","268.8"
"3","2.3","0.5","1.1","44.888","0","176.2"
"3","2.3","0.5","0.4","17.16","0","66.8"
"Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
"
"Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
"
"Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
"
"Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
"
"3","2.525","0.5","5","80.0792079207921","2.5","241.5"
"3","2.525","0.5","3","45.980198019802","0","143"
"3","2.525","0.5","1.76","33.0792079207921","0","100.5"
"3","2.525","0.5","1.1","21.8415841584158","0","59"
"3","2.525","0.5","0.4","8.4950495049505","0","27"
"3.25","2.525","0.5","5","205.339622641509","1.25","867.125"
"3.25","2.525","0.5","3","126.11320754717","2.25","489.75"
"3.25","2.525","0.5","1.76","87.3396226415094","1.25","369.5"
"3.25","2.525","0.5","1.1","56.4528301886792","1","217.125"
"3.25","2.525","0.5","0.4","21.3962264150943","0","79.875"
"Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
"
"Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
"
"Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
","Error in spp[1:(sppLatent + 1), ] : subscript out of bounds
"
